2026-07-19T13:39:48+00:00 START ham-random-perm_thr cpu=3 attempt=1
ham-rs perm_thr 56750/100000 best=0.672386s eval=52211 elapsed=1255.1s
ham-rs perm_thr 57000/100000 best=0.672386s eval=52211 elapsed=1262.4s
ham-rs perm_thr 57250/100000 best=0.672386s eval=52211 elapsed=1269.9s
ham-rs perm_thr 57500/100000 best=0.672386s eval=52211 elapsed=1276.7s
ham-rs perm_thr 57750/100000 best=0.672386s eval=52211 elapsed=1282.8s
ham-rs perm_thr 58000/100000 best=0.672386s eval=52211 elapsed=1288.5s
ham-rs perm_thr 58250/100000 best=0.672386s eval=52211 elapsed=1293.9s
ham-rs perm_thr 58500/100000 best=0.672386s eval=52211 elapsed=1299.5s
ham-rs perm_thr 58750/100000 best=0.672386s eval=52211 elapsed=1305.1s
ham-rs perm_thr 59000/100000 best=0.672386s eval=52211 elapsed=1310.6s
ham-rs perm_thr 59250/100000 best=0.672386s eval=52211 elapsed=1316.3s
ham-rs perm_thr 59500/100000 best=0.672386s eval=52211 elapsed=1322.0s
ham-rs perm_thr 59750/100000 best=0.672386s eval=52211 elapsed=1327.7s
ham-rs perm_thr 60000/100000 best=0.672386s eval=52211 elapsed=1333.2s
ham-rs perm_thr 60250/100000 best=0.672386s eval=52211 elapsed=1338.6s
ham-rs perm_thr 60500/100000 best=0.672386s eval=52211 elapsed=1344.3s
ham-rs perm_thr 60750/100000 best=0.672386s eval=52211 elapsed=1350.2s
ham-rs perm_thr 61000/100000 best=0.672386s eval=52211 elapsed=1355.8s
ham-rs perm_thr 61250/100000 best=0.672386s eval=52211 elapsed=1361.1s
ham-rs perm_thr 61500/100000 best=0.672386s eval=52211 elapsed=1366.6s
ham-rs perm_thr 61750/100000 best=0.672386s eval=52211 elapsed=1372.1s
ham-rs perm_thr 62000/100000 best=0.672386s eval=52211 elapsed=1377.5s
ham-rs perm_thr 62250/100000 best=0.672386s eval=52211 elapsed=1382.9s
ham-rs perm_thr 62500/100000 best=0.672386s eval=52211 elapsed=1388.3s
ham-rs perm_thr 62750/100000 best=0.672386s eval=52211 elapsed=1393.5s
ham-rs perm_thr 63000/100000 best=0.672386s eval=52211 elapsed=1398.9s
ham-rs perm_thr 63250/100000 best=0.672386s eval=52211 elapsed=1404.3s
ham-rs perm_thr 63500/100000 best=0.672386s eval=52211 elapsed=1409.8s
ham-rs perm_thr 63750/100000 best=0.672386s eval=52211 elapsed=1415.2s
ham-rs perm_thr 64000/100000 best=0.672386s eval=52211 elapsed=1420.7s
ham-rs perm_thr 64250/100000 best=0.672386s eval=52211 elapsed=1426.1s
ham-rs perm_thr 64500/100000 best=0.672386s eval=52211 elapsed=1431.6s
ham-rs perm_thr 64750/100000 best=0.672386s eval=52211 elapsed=1437.0s
ham-rs perm_thr 65000/100000 best=0.672386s eval=52211 elapsed=1442.7s
ham-rs perm_thr 65250/100000 best=0.672386s eval=52211 elapsed=1448.1s
ham-rs perm_thr 65500/100000 best=0.672386s eval=52211 elapsed=1453.5s
ham-rs perm_thr 65750/100000 best=0.672386s eval=52211 elapsed=1459.3s
ham-rs perm_thr 66000/100000 best=0.672386s eval=52211 elapsed=1464.9s
ham-rs perm_thr 66250/100000 best=0.672386s eval=52211 elapsed=1470.3s
ham-rs perm_thr 66500/100000 best=0.672386s eval=52211 elapsed=1476.4s
ham-rs perm_thr 66750/100000 best=0.672386s eval=52211 elapsed=1481.8s
ham-rs perm_thr 67000/100000 best=0.672386s eval=52211 elapsed=1487.1s
ham-rs perm_thr 67250/100000 best=0.672386s eval=52211 elapsed=1492.7s
ham-rs perm_thr 67500/100000 best=0.672386s eval=52211 elapsed=1498.3s
ham-rs perm_thr 67750/100000 best=0.672386s eval=52211 elapsed=1503.7s
ham-rs perm_thr 68000/100000 best=0.672386s eval=52211 elapsed=1509.5s
ham-rs perm_thr 68250/100000 best=0.672386s eval=52211 elapsed=1514.9s
ham-rs perm_thr 68500/100000 best=0.672386s eval=52211 elapsed=1520.2s
ham-rs perm_thr 68750/100000 best=0.672386s eval=52211 elapsed=1525.8s
ham-rs perm_thr 69000/100000 best=0.672386s eval=52211 elapsed=1531.3s
ham-rs perm_thr 69250/100000 best=0.672386s eval=52211 elapsed=1537.0s
ham-rs perm_thr 69500/100000 best=0.672386s eval=52211 elapsed=1542.5s
ham-rs perm_thr 69750/100000 best=0.672386s eval=52211 elapsed=1548.0s
ham-rs perm_thr 70000/100000 best=0.672386s eval=52211 elapsed=1553.7s
ham-rs perm_thr 70250/100000 best=0.672386s eval=52211 elapsed=1559.2s
ham-rs perm_thr 70500/100000 best=0.672386s eval=52211 elapsed=1564.5s
ham-rs perm_thr 70750/100000 best=0.672386s eval=52211 elapsed=1569.8s
ham-rs perm_thr 71000/100000 best=0.672386s eval=52211 elapsed=1575.3s
ham-rs perm_thr 71250/100000 best=0.672386s eval=52211 elapsed=1580.7s
ham-rs perm_thr 71500/100000 best=0.672386s eval=52211 elapsed=1586.3s
ham-rs perm_thr 71750/100000 best=0.672386s eval=52211 elapsed=1591.7s
ham-rs perm_thr 72000/100000 best=0.672386s eval=52211 elapsed=1597.5s
ham-rs perm_thr 72250/100000 best=0.672386s eval=52211 elapsed=1603.0s
ham-rs perm_thr 72500/100000 best=0.672386s eval=52211 elapsed=1608.6s
ham-rs perm_thr 72750/100000 best=0.672386s eval=52211 elapsed=1614.1s
ham-rs perm_thr 73000/100000 best=0.672386s eval=52211 elapsed=1619.6s
ham-rs perm_thr 73250/100000 best=0.672386s eval=52211 elapsed=1625.3s
ham-rs perm_thr 73500/100000 best=0.672386s eval=52211 elapsed=1630.8s
ham-rs perm_thr 73750/100000 best=0.672386s eval=52211 elapsed=1636.3s
ham-rs perm_thr 74000/100000 best=0.672386s eval=52211 elapsed=1641.9s
ham-rs perm_thr 74250/100000 best=0.672386s eval=52211 elapsed=1647.4s
ham-rs perm_thr 74500/100000 best=0.672386s eval=52211 elapsed=1652.9s
ham-rs perm_thr 74750/100000 best=0.672386s eval=52211 elapsed=1658.2s
ham-rs perm_thr 75000/100000 best=0.672386s eval=52211 elapsed=1663.8s
ham-rs perm_thr 75250/100000 best=0.672386s eval=52211 elapsed=1669.3s
