2026-07-19T13:39:48+00:00 START ham-random-perm_int cpu=2 attempt=1
ham-rs perm_int 69000/100000 best=1.269907s eval=67432 elapsed=1557.2s
ham-rs perm_int 69250/100000 best=1.269907s eval=67432 elapsed=1562.6s
ham-rs perm_int 69500/100000 best=1.269907s eval=67432 elapsed=1568.2s
ham-rs perm_int 69750/100000 best=1.269907s eval=67432 elapsed=1573.8s
ham-rs perm_int 70000/100000 best=1.269907s eval=67432 elapsed=1579.5s
ham-rs perm_int 70250/100000 best=1.269907s eval=67432 elapsed=1584.7s
ham-rs perm_int 70500/100000 best=1.269907s eval=67432 elapsed=1590.0s
ham-rs perm_int 70750/100000 best=1.269907s eval=67432 elapsed=1595.6s
ham-rs perm_int 71000/100000 best=1.269907s eval=67432 elapsed=1601.3s
ham-rs perm_int 71250/100000 best=1.269907s eval=67432 elapsed=1606.7s
ham-rs perm_int 71500/100000 best=1.269907s eval=67432 elapsed=1612.3s
ham-rs perm_int 71750/100000 best=1.269907s eval=67432 elapsed=1618.1s
ham-rs perm_int 72000/100000 best=1.269907s eval=67432 elapsed=1623.5s
ham-rs perm_int 72250/100000 best=1.269907s eval=67432 elapsed=1629.1s
ham-rs perm_int 72500/100000 best=1.269907s eval=67432 elapsed=1634.5s
ham-rs perm_int 72750/100000 best=1.269907s eval=67432 elapsed=1640.3s
ham-rs perm_int 73000/100000 best=1.269907s eval=67432 elapsed=1646.5s
ham-rs perm_int 73250/100000 best=1.269907s eval=67432 elapsed=1652.0s
ham-rs perm_int 73500/100000 best=1.269907s eval=67432 elapsed=1657.7s
ham-rs perm_int 73750/100000 best=1.269907s eval=67432 elapsed=1663.4s
ham-rs perm_int 74000/100000 best=1.269907s eval=67432 elapsed=1669.0s
ham-rs perm_int 74250/100000 best=1.269907s eval=67432 elapsed=1674.4s
ham-rs perm_int 74500/100000 best=1.269907s eval=67432 elapsed=1680.2s
ham-rs perm_int 74750/100000 best=1.269907s eval=67432 elapsed=1685.8s
ham-rs perm_int 75000/100000 best=1.269907s eval=67432 elapsed=1691.5s
ham-rs perm_int 75250/100000 best=1.269907s eval=67432 elapsed=1697.1s
ham-rs perm_int 75500/100000 best=1.269907s eval=67432 elapsed=1702.6s
ham-rs perm_int 75750/100000 best=1.269907s eval=67432 elapsed=1708.3s
ham-rs perm_int 76000/100000 best=1.269907s eval=67432 elapsed=1713.7s
ham-rs perm_int 76250/100000 best=1.269907s eval=67432 elapsed=1719.4s
ham-rs perm_int 76500/100000 best=1.269907s eval=67432 elapsed=1725.2s
ham-rs perm_int 76750/100000 best=1.269907s eval=67432 elapsed=1730.7s
ham-rs perm_int 77000/100000 best=1.269907s eval=67432 elapsed=1736.2s
ham-rs perm_int 77250/100000 best=1.269907s eval=67432 elapsed=1741.6s
ham-rs perm_int 77500/100000 best=1.269907s eval=67432 elapsed=1747.0s
ham-rs perm_int 77750/100000 best=1.269907s eval=67432 elapsed=1753.0s
ham-rs perm_int 78000/100000 best=1.269907s eval=67432 elapsed=1758.6s
ham-rs perm_int 78250/100000 best=1.269907s eval=67432 elapsed=1764.1s
ham-rs perm_int 78500/100000 best=1.269907s eval=67432 elapsed=1769.5s
ham-rs perm_int 78750/100000 best=1.269907s eval=67432 elapsed=1775.1s
ham-rs perm_int 79000/100000 best=1.269907s eval=67432 elapsed=1780.9s
ham-rs perm_int 79250/100000 best=1.269907s eval=67432 elapsed=1786.6s
ham-rs perm_int 79500/100000 best=1.269907s eval=67432 elapsed=1792.3s
ham-rs perm_int 79750/100000 best=1.269907s eval=67432 elapsed=1797.8s
ham-rs perm_int 80000/100000 best=1.269907s eval=67432 elapsed=1803.3s
ham-rs perm_int 80250/100000 best=1.269907s eval=67432 elapsed=1808.9s
ham-rs perm_int 80500/100000 best=1.269907s eval=67432 elapsed=1814.2s
ham-rs perm_int 80750/100000 best=1.269907s eval=67432 elapsed=1820.2s
ham-rs perm_int 81000/100000 best=1.269907s eval=67432 elapsed=1826.1s
ham-rs perm_int 81250/100000 best=1.269907s eval=67432 elapsed=1831.7s
ham-rs perm_int 81500/100000 best=1.269907s eval=67432 elapsed=1837.1s
ham-rs perm_int 81750/100000 best=1.269907s eval=67432 elapsed=1842.9s
ham-rs perm_int 82000/100000 best=1.269907s eval=67432 elapsed=1848.5s
ham-rs perm_int 82250/100000 best=1.269907s eval=67432 elapsed=1853.9s
ham-rs perm_int 82500/100000 best=1.269907s eval=67432 elapsed=1859.4s
ham-rs perm_int 82750/100000 best=1.269907s eval=67432 elapsed=1864.8s
ham-rs perm_int 83000/100000 best=1.269907s eval=67432 elapsed=1870.6s
ham-rs perm_int 83250/100000 best=1.269907s eval=67432 elapsed=1876.2s
ham-rs perm_int 83500/100000 best=1.269907s eval=67432 elapsed=1881.8s
ham-rs perm_int 83750/100000 best=1.269907s eval=67432 elapsed=1887.1s
ham-rs perm_int 84000/100000 best=1.269907s eval=67432 elapsed=1892.5s
ham-rs perm_int 84250/100000 best=1.269907s eval=67432 elapsed=1898.2s
ham-rs perm_int 84500/100000 best=1.269907s eval=67432 elapsed=1903.8s
ham-rs perm_int 84750/100000 best=1.269907s eval=67432 elapsed=1909.3s
ham-rs perm_int 85000/100000 best=1.269907s eval=67432 elapsed=1915.2s
ham-rs perm_int 85250/100000 best=1.269907s eval=67432 elapsed=1920.6s
ham-rs perm_int 85500/100000 best=1.269907s eval=67432 elapsed=1926.1s
ham-rs perm_int 85750/100000 best=1.269907s eval=67432 elapsed=1931.6s
ham-rs perm_int 86000/100000 best=1.269907s eval=67432 elapsed=1937.0s
ham-rs perm_int 86250/100000 best=1.269907s eval=67432 elapsed=1942.5s
ham-rs perm_int 86500/100000 best=1.269907s eval=67432 elapsed=1948.0s
ham-rs perm_int 86750/100000 best=1.269907s eval=67432 elapsed=1953.4s
ham-rs perm_int 87000/100000 best=1.269907s eval=67432 elapsed=1958.9s
ham-rs perm_int 87250/100000 best=1.269907s eval=67432 elapsed=1964.8s
