2026-07-18T20:31:43+00:00 tsp supervisor launch attempt 1
tsp champion_diagonalcma_u10000 heldout seed=16 rep=0: SOLVED 14.226060s
tsp champion_diagonalcma_u10000 heldout seed=17 rep=0: SOLVED 12.404414s
tsp champion_diagonalcma_u10000 heldout seed=18 rep=0: SOLVED 17.092260s
tsp champion_diagonalcma_u10000 heldout seed=19 rep=0: SOLVED 9.713731s
tsp champion_diagonalcma_u10000 heldout seed=20 rep=0: SOLVED 9.384793s
tsp champion_diagonalcma_u10000 heldout seed=21 rep=0: SOLVED 19.969897s
tsp champion_diagonalcma_u10000 heldout seed=22 rep=0: SOLVED 14.004593s
tsp champion_diagonalcma_u10000 heldout seed=23 rep=0: SOLVED 12.205234s
tsp champion_diagonalcma_u10000 heldout seed=24 rep=0: SOLVED 7.231600s
tsp champion_diagonalcma_u10000 heldout seed=25 rep=0: SOLVED 24.588997s
tsp champion_diagonalcma_u10000 heldout seed=26 rep=0: SOLVED 18.182004s
tsp champion_diagonalcma_u10000 heldout seed=27 rep=0: SOLVED 16.270664s
tsp champion_diagonalcma_u10000 heldout seed=28 rep=0: SOLVED 7.366563s
tsp champion_diagonalcma_u10000 heldout seed=29 rep=0: SOLVED 20.600394s
tsp champion_diagonalcma_u10000 heldout seed=30 rep=0: SOLVED 7.225383s
tsp_external tsplib/a280 train seed=1: SOLVED 0.483421s
tsp_external tsplib/a280 train seed=2: SOLVED 0.323446s
tsp_external tsplib/a280 train seed=3: SOLVED 0.289126s
tsp_external tsplib/a280 train seed=4: SOLVED 0.571274s
tsp_external tsplib/a280 train seed=5: SOLVED 0.219528s
tsp_external tsplib/a280 train seed=6: SOLVED 0.447631s
tsp_external tsplib/a280 train seed=7: SOLVED 0.375096s
tsp_external tsplib/att48 train seed=1: SOLVED 0.041771s
tsp_external tsplib/att48 train seed=2: SOLVED 0.054748s
tsp_external tsplib/att48 train seed=3: SOLVED 0.036363s
tsp_external tsplib/att48 train seed=4: SOLVED 0.035504s
tsp_external tsplib/att48 train seed=5: SOLVED 0.035194s
tsp_external tsplib/att48 train seed=6: SOLVED 0.047006s
tsp_external tsplib/att48 train seed=7: SOLVED 0.036530s
tsp_external tsplib/bayg29 train seed=1: SOLVED 0.007446s
tsp_external tsplib/bayg29 train seed=2: SOLVED 0.007064s
tsp_external tsplib/bayg29 train seed=3: SOLVED 0.007706s
tsp_external tsplib/bayg29 train seed=4: SOLVED 0.007295s
tsp_external tsplib/bayg29 train seed=5: SOLVED 0.007023s
tsp_external tsplib/bayg29 train seed=6: SOLVED 0.007397s
tsp_external tsplib/bayg29 train seed=7: SOLVED 0.007203s
tsp_external tsplib/bays29 train seed=1: SOLVED 0.008783s
tsp_external tsplib/bays29 train seed=2: SOLVED 0.010615s
tsp_external tsplib/bays29 train seed=3: SOLVED 0.009492s
tsp_external tsplib/bays29 train seed=4: SOLVED 0.009826s
tsp_external tsplib/bays29 train seed=5: SOLVED 0.009527s
tsp_external tsplib/bays29 train seed=6: SOLVED 0.008394s
tsp_external tsplib/bays29 train seed=7: SOLVED 0.010145s
tsp_external tsplib/berlin52 train seed=1: SOLVED 0.023249s
tsp_external tsplib/berlin52 train seed=2: SOLVED 0.023242s
tsp_external tsplib/berlin52 train seed=3: SOLVED 0.023041s
tsp_external tsplib/berlin52 train seed=4: SOLVED 0.022340s
tsp_external tsplib/berlin52 train seed=5: SOLVED 0.022246s
tsp_external tsplib/berlin52 train seed=6: SOLVED 0.022460s
tsp_external tsplib/berlin52 train seed=7: SOLVED 0.021487s
tsp_external tsplib/bier127 train seed=1: SOLVED 0.119600s
tsp_external tsplib/bier127 train seed=2: SOLVED 0.111086s
tsp_external tsplib/bier127 train seed=3: SOLVED 0.111241s
tsp_external tsplib/bier127 train seed=4: SOLVED 0.112809s
tsp_external tsplib/bier127 train seed=5: SOLVED 0.118460s
tsp_external tsplib/bier127 train seed=6: SOLVED 0.121339s
tsp_external tsplib/bier127 train seed=7: SOLVED 0.122168s
tsp_external tsplib/brazil58 train seed=1: SOLVED 0.045350s
tsp_external tsplib/brazil58 train seed=2: SOLVED 0.044662s
